english_sentence,turkish_sentence,english_word,turkish_word,word_info
"I need ___ new computer.","Yeni bir bilgisayara ihtiyacım var.",a,bir,indefinite article
"Let's talk ___ your plans.","Planların hakkında konuşalım.",about,hakkında,adverb
"The picture is ___ the desk.","Resim masanın üstünde.",above,üstünde,adverb
"The bridge goes ___ the river.","Köprü nehrin karşısına gidiyor.",across,karşısına,adverb
"We need to take ___ immediately.","Hemen harekete geçmemiz gerek.",action,harekete,noun
"Swimming is a healthy ___.","Yüzmek sağlıklı bir aktivitedir.",activity,aktivite,noun
"He wants to become an ___.","O bir aktör olmak istiyor.",actor,aktör,noun
"She is a talented ___.","O yetenekli bir aktris.",actress,aktris,noun
"Please ___ some sugar to my coffee.","Lütfen kahveme biraz şeker ekle.",add,eklemek,verb
"What's your home ___?","Ev adresin nedir?",address,adres,noun
"You must be an ___ to enter this movie.","Bu filmi izlemek için yetişkin olmalısın.",adult,yetişkin,noun
"Can you give me some ___?","Bana biraz tavsiye verebilir misin?",advice,tavsiye,noun
"Don't be ___ of making mistakes.","Hata yapmaktan korkma.",afraid,korkmak,adjective
"Let's meet ___ lunch.","Öğle yemeğinden sonra buluşalım.",after,sonra,preposition
"I'll see you in the ___.","Seni öğleden sonra göreceğim.",afternoon,öğleden sonra,noun
"Can you say that ___?","Bunu tekrar söyleyebilir misin?",again,tekrar,adverb
"What ___ are you?","Kaç yaşındasın?",age,yaş,noun
"I met her two years ___.","Onunla iki yıl önce tanıştım.",ago,önce,adverb
"I ___ with your opinion.","Fikrine katılıyorum.",agree,katılmak,verb
"Open the window to get fresh ___.","Temiz hava almak için pencereyi aç.",air,hava,noun
"We'll meet at the ___.","Havalimanında buluşacağız.",airport,havalimanı,noun
"___ students must attend.","Tüm öğrenciler katılmalı.",all,tüm,determiner
"She can ___ speak Spanish.","O aynı zamanda İspanyolca da konuşabilir.",also,da/de,adverb
"He ___ arrives on time.","O her zaman zamanında gelir.",always,her zaman,adverb
"That was an ___ performance.","O muhteşem bir performanstı.",amazing,muhteşem,adjective
"Coffee ___ tea","Kahve ve çay",and,ve,conjunction
"Why are you ___ with me?","Neden bana kızgınsın?",angry,kızgın,adjective
"The zoo has many ___s.","Hayvanat bahçesinde birçok hayvan var.",animal,hayvan,noun
"I need ___ cup of coffee.","Başka bir fincan kahveye ihtiyacım var.",another,başka,determiner
"Please ___ my question.","Lütfen soruma cevap ver.",answer,cevap vermek,noun
"Do you have ___ questions?","Herhangi bir sorun var mı?",any,herhangi,determiner
"Is ___ home?","Evde kimse var mı?",anyone,kimse,pronoun
"Did you see ___?","Bir şey gördün mü?",anything,bir şey,pronoun
"They live in a new ___.","Onlar yeni bir dairede yaşıyor.",apartment,daire,noun
"I eat an ___ every day.","Her gün bir elma yerim.",apple,elma,noun
"Easter is usually in ___.","Paskalya genellikle Nisan'da olur.",april,Nisan,noun
"This ___ is very quiet.","Bu bölge çok sessiz.",area,bölge,noun
"He broke his ___ in the accident.","Kazada kolunu kırdı.",arm,kol,noun
"The Earth moves ___ the Sun.","Dünya Güneş'in etrafında döner.",around,etrafında,adverb
"When does the train ___?","Tren ne zaman varıyor?",arrive,varmak,verb
"She studies ___ at university.","Üniversitede sanat okuyor.",art,sanat,noun
"I read an interesting ___ today.","Bugün ilginç bir makale okudum.",article,makale,noun
"She is a talented ___.","O yetenekli bir sanatçı.",artist,sanatçı,noun
"Use this ___ an example.","Bunu örnek olarak kullan.",as,olarak,preposition
"Don't forget to ___ for help.","Yardım istemeyi unutma.",ask,istemek,verb
"I'll meet you ___ the station.","Seninle istasyonda buluşacağım.",at,de/da,preposition
"It's very hot in ___.","Ağustos'ta çok sıcak.",august,Ağustos,noun
"My ___ lives in London.","Teyzem Londra'da yaşıyor.",aunt,teyze,noun
"The leaves fall in ___.","Yapraklar sonbaharda düşer.",autumn,sonbahar,noun
"He lives far ___ from here.","O buradan uzakta yaşıyor.",away,uzakta,adverb
"The ___ is crying.","Bebek ağlıyor.",baby,bebek,noun
"I'll be ___ in 5 minutes.","5 dakika içinde döneceğim.",back,geri,adverb
"That was a ___ idea.","O kötü bir fikirdi.",bad,kötü,adjective
"Put it in your ___.","Onu çantana koy.",bag,çanta,noun
"Let's play with the ___.","Topla oynayalım.",ball,top,noun
"I had a ___ for breakfast.","Kahvaltıda bir muz yedim.",banana,muz,noun
"My favorite ___ is playing tonight.","En sevdiğim grup bu gece çalıyor.",band,grup,noun
"I need to go to the ___.","Bankaya gitmem gerek.",bank,banka,noun
"I like taking a hot ___.","Sıcak banyo yapmayı severim.",bath,banyo,noun
"Where is the ___?","Banyo nerede?",bathroom,banyo,noun
"___ yourself!","Kendin ol!",be,olmak,verb
